313,666 Aged Ale,1332,Diamond Knot Brewery & Alehouse
314,666 Belgian Ale,449,Big Time Brewing Company
315,667 Neighbor of the beast,2416,Lone Pint Brewery
316,680 Ale,2599,Milkman Brewing
317,680 IPA,3417,Schubros Brewery
318,6ixth Sense Ale,520,Blind Bat Brewery
319,6th Anniversary Ale,3467,Shoreline Brewery
320,6th Noel,89,Acorn Brewery of Barnsley
321,7 Bridges Brown,2315,Lake Superior Brewing
322,7 Grain Saison,3755,The Bruery
323,72 Eldorado Ale,2738,New Belgium Brewing
324,7200' Stout,158,Altitude Chophouse & Brewery
325,7258? ?Blonde Ale,1173,Colorado Mountain Brewery
326,75 Minute IPA,1355,Dogfish Head Craft Brewery
327,75th Anniversary Ale,3810,Thirsty Dog Brewing Company
328,77 Fremont Select,1653,Fremont Brewing
329,77 IPA,48,77 Beer Co
330,77 Lager,827,BrewDog Ltd
331,77 Pilsner,48,77 Beer Co
332,7th Anniversary IPA,3639,Stone Brewing Company
333,7th Noel,89,Acorn Brewery of Barnsley
334,8 Malt Stout,1309,Delafield Brewhaus
335,8 Malty Nights,2750,New Old Lompoc
336,8 Malty Nights,2414,Lompoc Brewing
337,8 Second,1450,Elevation Beer Company
338,8+35=20 Pilot Project,4104,White Birch Brewing
339,8-Ball Stout,2434,Lost Coast Brewery
340,8-Bit Pale Ale,3708,Tallgrass Brewing Company
341,80 Shilling,1689,Gaslight Brewery & Restaurant
342,80 Shilling,2477,Mad Fox Brewing Company
343,80 Shilling Ale,4020,Vintage 50 Restaurant and Brew Lounge
344,80 Shilling Scotch Ale,307,Barley Island Brewing Company
345,80-Acre Hoppy Wheat Beer,606,Boulevard Brewing Company
346,805,1562,Firestone Walker Brewing Company
347,825 State Stout Release #1,1481,EPIC Brewing Company
348,825 State Stout Release #10,1481,EPIC Brewing Company
349,825 State Stout Release #11,1481,EPIC Brewing Company
350,825 State Stout Release #12,1481,EPIC Brewing Company
351,825 State Stout Release #13,1481,EPIC Brewing Company
352,825 State Stout Release #14,1481,EPIC Brewing Company
353,825 State Stout Release #2,1481,EPIC Brewing Company
354,825 State Stout Release #3,1481,EPIC Brewing Company
355,825 State Stout Release #4,1481,EPIC Brewing Company
356,825 State Stout Release #5,1481,EPIC Brewing Company
357,825 State Stout Release #6,1482,Epic Brewing Company
358,825 State Stout Release #6,1481,EPIC Brewing Company
359,825 State Stout Release #7,1481,EPIC Brewing Company
360,825 State Stout Release #8,1481,EPIC Brewing Company
361,825 State Stout Release #9,1481,EPIC Brewing Company
362,834 Happy As Ale,532,Blue Blood Brewing Company
